GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
BOIL_(SOMETHING)	k ɔ - w - ɾ ə	k ɔ w ɾ ə	k ɥ iː ʁ	k ɥ iː ʁ	k u ɔ tʃ e r e	k u ɔ tʃ e r e	k ɔ - kʷ ɛ r ɛ	k ɔ kʷ ɛ r ɛ	k u - z e r -	k u z e r	g ə tʲ	g ə tʲ	g i - s a ɾ -	g i s a ɾ
BOLT_(MOVE_IN_HASTE)	ə n ə ɾ + k u r ɛ n̪	ə n ə ɾ + k u r ɛ n̪	k u ʁ iː ʁ	k u ʁ iː ʁ	a n d a r e + i n + f r e tː a	a n d a r e + i n + f r e tː a	p r ɔ p ɛ r aː r ɛ	p r ɔ p ɛ r aː r ɛ	ɐ p r ə s a r s ə	ɐ p r ə s a r s ə	f i + s e + g r ə bʲ	f i + s e + g r ə bʲ	k o r e ɾ + p ɾ i s a	k o r e ɾ + p ɾ i s a
BONE	- ɔ s -	ɔ s	- ɔ s -	ɔ s	- o sː o	o sː o	- ɔ s -	ɔ s	- o s u	o s u	- o s -	o s	w e s o	w e s o
BOOK	ʎ i β - ɾ ə	ʎ i β ɾ ə	l iː v - ʁ ə	l iː v ʁ ə	l i b - r o	l i b r o	lˠ ɪ b ɛ r -	lˠ ɪ b ɛ r	l i v - r u	l i v r u	k a r t e	k a r t e	l i β - ɾ o	l i β ɾ o
BOOT	b ɔ t̪ ə	b ɔ t̪ ə	b ɔ t -	b ɔ t	s t i v a l e	s t i v a l e	k a lˠ ɪ g a	k a lˠ ɪ g a	b ɔ t ɐ	b ɔ t ɐ	tʃ i z m ə	tʃ i z m ə	b o t a	b o t a
BORDER	f ɾ u n̪ t̪ - - ɛ ɾ ə	f ɾ u n̪ t̪ ɛ ɾ ə	f ʁ ɔ̃ - t - j ɛː ʁ -	f ʁ ɔ̃ t j ɛː ʁ	f r o n t i - e r a	f r o n t i e r a	l iː m ɛ s	l iː m ɛ s	f r õ - t e j - r ɐ	f r õ t e j r ɐ	f r o n t - j e r ə	f r o n t j e r ə	f ɾ o n t - - e ɾ a	f ɾ o n t e ɾ a
BOSS	k a p -	k a p	p a t ʁ - - ɔ̃	p a t ʁ ɔ̃	p a d r o n e	p a d r o n e	p r a ɛ f ɛ k t ʊ s	p r a ɛ f ɛ k t ʊ s	p ɐ t r ɐ̃ w -	p ɐ t r ɐ̃ w	ʃ e f	ʃ e f	x e f e	x e f e
BOTHER_(HARASS)	i m p u ɾ t̪ u n a - -	i m p u ɾ t̪ u n a	ɛ̃ - p ɔ ʁ t y n e - -	ɛ̃ p ɔ ʁ t y n e	i m p o r t u n a r e	i m p o r t u n a r e	ɔ b t ʊ n d ɛ r ɛ	ɔ b t ʊ n d ɛ r ɛ	ĩ - p o r t u n a r -	ĩ p o r t u n a r	i m p o r t u n a - -	i m p o r t u n a	i m p o ɾ t u n a ɾ -	i m p o ɾ t u n a ɾ
BOW	a ɾ k - -	a ɾ k	a ʁ k - -	a ʁ k	a r k o -	a r k o	a r k ʊ s	a r k ʊ s	a r k u -	a r k u	a r k - -	a r k	a ɾ k o -	a ɾ k o
BOX	k a - ʃ ə	k a ʃ ə	k ɛ - s -	k ɛ s	k a - sː a	k a sː a	k ɪ s t a	k ɪ s t a	k a j ʃ ə	k a j ʃ ə	k u t j e	k u t j e	k a - x a	k a x a
BOY	n ɔ j	n ɔ j	g a ʁ s ɔ̃	g a ʁ s ɔ̃	r a g a t ts o	r a g a t ts o	p ʊ ɛ r	p ʊ ɛ r	m ə n i n u	m ə n i n u	f l ə k ə w	f l ə k ə w	m u tʃ a tʃ o	m u tʃ a tʃ o
BRAIN	s ə ɾ β ɛ ʎ -	s ə ɾ β ɛ ʎ	s ɛ ʁ v o - -	s ɛ ʁ v o	tʃ e r v e lː o	tʃ e r v e lː o	k ɛ r ɛ b r ʊ̃	k ɛ r ɛ b r ʊ̃	s ɛ r ə β r u	s ɛ r ə β r u	k r e j e r	k r e j e r	e n θ e f a l o	e n θ e f a l o
BRANCH	b ɾ a - ŋ k ə	b ɾ a ŋ k ə	b ʁ ɑ̃ː - - ʃ -	b ʁ ɑ̃ː ʃ	r a m o -	r a m o	r aː m ʊ s	r aː m ʊ s	ʀ ɐ m u -	ʀ ɐ m u	k r e a n g ə	k r e a n g ə	ɾ a m a -	ɾ a m a
BRAWL_(FIGHT)	b ə ɾ ə ʎ a ɾ z ə	b ə ɾ ə ʎ a ɾ z ə	s ə t a p e	s ə t a p e	b a tː e r z i	b a tː e r z i	lˠ ʊ k t aː r iː	lˠ ʊ k t aː r iː	b a t e r ʃ e	b a t e r ʃ e	s e + b a t e	s e + b a t e	b a t i ɾ s e	b a t i ɾ s e
BREAD	p a - - - -	p a	p ɛ̃ - - - -	p ɛ̃	p a - n e -	p a n e	p aː - n ɪ s	p aː n ɪ s	p ɐ̃ - w - -	p ɐ̃ w	p ɨ j n e -	p ɨ j n e	p a - n - -	p a n
BREAK_(CLEAVE)	t̪ ɾ ə ŋ k a	t̪ ɾ ə ŋ k a	k ɑ s e	k ɑ s e	s p e t ts a r e	s p e t ts a r e	f r a ŋ g ɛ r ɛ	f r a ŋ g ɛ r ɛ	k e b r a r	k e b r a r	f r ɨ n dʒ e	f r ɨ n dʒ e	k e β ɾ a ɾ	k e β ɾ a ɾ
BREAK_(DESTROY_OR_GET_DESTROYED)	t̪ ɾ ə ŋ k a	t̪ ɾ ə ŋ k a	ʁ ɔ̃ː - p - ʁ ə	ʁ ɔ̃ː p ʁ ə	r o m p e r e	r o m p e r e	r ʊ m p ɛ r ɛ	r ʊ m p ɛ r ɛ	k e b r a r	k e b r a r	f r ɨ n dʒ e	f r ɨ n dʒ e	k e β ɾ a ɾ	k e β ɾ a ɾ
BREAK_(OF_ROPE)	t̪ ɾ ə ŋ k a ɾ z ə	t̪ ɾ ə ŋ k a ɾ z ə	s ə d e ʃ i ʁ e	s ə d e ʃ i ʁ e	s t r a - pː a r z i	s t r a pː a r z i	s k ɪ n d iː	s k ɪ n d iː	- - r õ - p e r ʃ e	r õ p e r ʃ e	s e + s f ɨ ʃ j a	s e + s f ɨ ʃ j a	- - ɾ o m p e ɾ s e	ɾ o m p e ɾ s e
BREAST	m a m ə	m a m ə	s ɛ̃	s ɛ̃	s e n o -	s e n o	s ɪ n ʊ s	s ɪ n ʊ s	ʃ e j u -	ʃ e j u	s ɨ n	s ɨ n	p e tʃ o	p e tʃ o
BREATH	a lˠ i t̪	a lˠ i t̪	a l ɛ n	a l ɛ n	r e s p i r - - - o	r e s p i r o	s p iː r ɪ t ʊ s	s p iː r ɪ t ʊ s	f o l e ɣ u	f o l e ɣ u	r e s p i r a ts j e	r e s p i r a ts j e	a l j e n t o	a l j e n t o
BREATHE	r ə s p i ɾ a - -	r ə s p i ɾ a	ʁ ə s p i ʁ e - -	ʁ ə s p i ʁ e	r e s p i r a r e	r e s p i r a r e	- - s p iː r aː r ɛ	s p iː r aː r ɛ	ʀ ə ʃ p i r a r -	ʀ ə ʃ p i r a r	r e s p i r a - -	r e s p i r a	ɾ e s p i ɾ a ɾ -	ɾ e s p i ɾ a ɾ
BRIDGE	p - ɔ - n̪ -	p ɔ n̪	p - ɔ̃ - - -	p ɔ̃	p - o n t e	p o n t e	p - õː - s -	p õː s	p - õ - t ə	p õ t ə	p - u n t e	p u n t e	p w e n t e	p w e n t e
BRIGHT	k lˠ a - - -	k lˠ a	k l ɛː ʁ - -	k l ɛː ʁ	k j a r o -	k j a r o	k lˠ aː r ʊ s	k lˠ aː r ʊ s	k l a r u -	k l a r u	l u m i n o s	l u m i n o s	k l a ɾ o -	k l a ɾ o
BRING	- p u ɾ t̪ - - a	p u ɾ t̪ a	a p ɔ ʁ t - - e	a p ɔ ʁ t e	a pː o r t a r e	a pː o r t a r e	a pː ɔ r t aː r ɛ	a pː ɔ r t aː r ɛ	t r ɐ z e r	t r ɐ z e r	a d u tʃ e	a d u tʃ e	t ɾ a - e ɾ	t ɾ a e ɾ
BROOM	ə s k ɔ m β ɾ - ə	ə s k ɔ m β ɾ ə	b a l ɛ	b a l ɛ	- s k o - p - - a	s k o p a	- s k oː - p - a ɛ	s k oː p a ɛ	v ɐ s o r ɐ	v ɐ s o r ɐ	m ə t u r ə	m ə t u r ə	e s k o - β - - a	e s k o β a
BROTHER	ʒ ə ɾ m a - -	ʒ ə ɾ m a	f ʁ ɛː - - ʁ -	f ʁ ɛː ʁ	f r a t e lː o	f r a t e lː o	f r aː t ɛ r -	f r aː t ɛ r	- i r m ɐ̃ w -	i r m ɐ̃ w	f r a t e - -	f r a t e	- e ɾ m a n o	e ɾ m a n o
BUCKET	g ə ʎ ɛ - ð ə	g ə ʎ ɛ ð ə	s o	s o	s e kː j o	s e kː j o	s ɪ t ʊ lˠ a	s ɪ t ʊ lˠ a	b a lˠ d ə	b a lˠ d ə	g ə l e a t ə	g ə l e a t ə	k u β o	k u β o
BUDGE_(ONESELF)	m u w ɾ ə s	m u w ɾ ə s	b ʁ ɔ̃ ʃ e	b ʁ ɔ̃ ʃ e	m u ɔ v e r z i	m u ɔ v e r z i	m ɪ k aː r - ɛ	m ɪ k aː r ɛ	m ə ʃ e r s ə	m ə ʃ e r s ə	s e + m i ʃ k a	s e + m i ʃ k a	ɾ e β u ʝ i ɾ	ɾ e β u ʝ i ɾ
BUILD	k u n s t ɾ - - u j -	k u n s t ɾ u j	k ɔ̃ - s t ʁ - ɥ iː ʁ -	k ɔ̃ s t ʁ ɥ iː ʁ	k o - s t r u - i r e	k o s t r u i r e	k õː - s t r ʊ - ɛ r ɛ	k õː s t r ʊ ɛ r ɛ	k õ - ʃ t r - w i r -	k õ ʃ t r w i r	k o n s t r - - u j -	k o n s t r u j	k o n s t ɾ - w i ɾ -	k o n s t ɾ w i ɾ
BULL	t̪ ɔ ɾ u	t̪ ɔ ɾ u	t o ʁ o	t o ʁ o	t o r o	t o r o	t a ʊ r ʊ s	t a ʊ r ʊ s	t o r u	t o r u	t a w r	t a w r	t o ɾ o	t o ɾ o
BUNDLE	p ə k ɛ t̪	p ə k ɛ t̪	f ɛ s o	f ɛ s o	f a g o tː o	f a g o tː o	f a s k ɪ s	f a s k ɪ s	f a r ð u	f a r ð u	m ə n u n kʲ	m ə n u n kʲ	a θ	a θ
BURNING	k ɾ ə - m a - -	k ɾ ə m a	f l ɑ̃ b e	f l ɑ̃ b e	b r u tʃ a r e	b r u tʃ a r e	aː r d eː r ɛ	aː r d eː r ɛ	a r ð e r -	a r ð e r	a r d - - e	a r d e	k - e - m a ɾ -	k e m a ɾ
BURN_(SOMETHING)	k ɾ ə - m a - -	k ɾ ə m a	b ʁ y l e	b ʁ y l e	b r u tʃ a r e	b r u tʃ a r e	k r ɛ - m aː r ɛ	k r ɛ m aː r ɛ	k - e j m a r -	k e j m a r	i n tʃ e n d j a	i n tʃ e n d j a	k - e - m a ɾ -	k e m a ɾ
BUSINESS	n ə ɣ ɔ s - i -	n ə ɣ ɔ s i	k ɔ m ɛ ʁ s	k ɔ m ɛ ʁ s	n e g o ts - i o	n e g o ts i o	n ɛ g oː t - ɪ ʊ̃	n ɛ g oː t ɪ ʊ̃	n ə ɣ o s j - u	n ə ɣ o s j u	a f a tʃ e r e	a f a tʃ e r e	n e ɣ o θ j - o	n e ɣ o θ j o
BUTTER	m ə n̪ t̪ ɛ - ɣ - - ə	m ə n̪ t̪ ɛ ɣ ə	b œː - - ʁ -	b œː ʁ	b u - - rː o	b u rː o	b uː t iː r ʊ̃	b uː t iː r ʊ̃	m ɐ̃ - t e j ɣ - - ɐ	m ɐ̃ t e j ɣ ɐ	u n t	u n t	m a n t e - k i ʝ a	m a n t e k i ʝ a
BUTTERFLY	p ə p ə ʎ ɔ n ə	p ə p ə ʎ ɔ n ə	p a p i j ɔ̃	p a p i j ɔ̃	f a r f a lː a	f a r f a lː a	p aː p ɪ lˠ ɪ oː	p aː p ɪ lˠ ɪ oː	b u r β u l e t ɐ	b u r β u l e t ɐ	f l u t u r e	f l u t u r e	m a ɾ i p o s a	m a ɾ i p o s a
BUTTON	b u t̪ o - -	b u t̪ o	b u t ɔ̃ - -	b u t ɔ̃	b o tː o n e	b o tː o n e	b ʊ lː a	b ʊ lː a	b u t ɐ̃ w -	b u t ɐ̃ w	b u t o n -	b u t o n	b o t o n -	b o t o n
BUY	k u m p - - ɾ a	k u m p ɾ a	a ʃ t e	a ʃ t e	a k k w i s t a r e	a k k w i s t a r e	ɛ m ɛ r ɛ	ɛ m ɛ r ɛ	k õ - p r a r -	k õ p r a r	k u m p - ə r a	k u m p ə r a	k o m p ɾ a ɾ -	k o m p ɾ a ɾ
CALCULATE	k ə lˠ k u lˠ - - a	k ə lˠ k u lˠ a	k a l k y l - - e	k a l k y l e	k a l k o l a r e	k a l k o l a r e	k a lˠ k ʊ lˠ aː r ɛ	k a lˠ k ʊ lˠ aː r ɛ	k a lˠ k u l a r -	k a lˠ k u l a r	k a l k u l - - a	k a l k u l a	k a l k u l a ɾ -	k a l k u l a ɾ
CALL	k ɾ i ð a	k ɾ i ð a	a p l e	a p l e	k j a m a r e	k j a m a r e	w oː k aː r ɛ	w oː k aː r ɛ	ʃ ɐ m a r -	ʃ ɐ m a r	k - e m - - a	k e m a	ʝ a m a ɾ -	ʝ a m a ɾ
CALL_(APPEAL)	k ɾ i ð ə	k ɾ i ð ə	a p ɛ l	a p ɛ l	k j a m a t a	k j a m a t a	k lˠ aː m ɔ r -	k lˠ aː m ɔ r	ʃ ɐ m a ð ɐ	ʃ ɐ m a ð ɐ	k - e m a r e	k e m a r e	ʝ a m a ð a	ʝ a m a ð a
CALL_BY_NAME	n u m ə n - - a -	n u m ə n a	a p l e	a p l e	n o m i n a r e -	n o m i n a r e	a pː ɛ lː - - aː r ɛ	a pː ɛ lː aː r ɛ	a p e l i ð a r -	a p e l i ð a r	k e m a	k e m a	n o m - b - ɾ a ɾ	n o m b ɾ a ɾ
CAMPFIRE	f u k + d̪ ə + k ə m p ə m ɛ n̪	f u k + d̪ ə + k ə m p ə m ɛ n̪	f ø d ə k ɑ̃	f ø d ə k ɑ̃	f u o k o + d i + b i v a kː o	f u o k o + d i + b i v a kː o	ɪ ŋ n ɪ s	ɪ ŋ n ɪ s	f o ɣ e j r a	f o ɣ e j r a	f o k + d e + t a b ə r ə	f o k + d e + t a b ə r ə	- o ɣ e - ɾ a	o ɣ e ɾ a
CAP	g ɔ r ə	g ɔ r ə	k a s k ɛ t	k a s k ɛ t	b e rː e tː o	b e rː e tː o	p ɪ lː ɛ ʊ s	p ɪ lː ɛ ʊ s	b a ʀ e t e	b a ʀ e t e	ʃ a p k ə	ʃ a p k ə	g o r o	g o r o
CARRY	p u ɾ t̪ - - a	p u ɾ t̪ a	p ɔ ʁ t - - e	p ɔ ʁ t e	p o r t a r e	p o r t a r e	p ɔ r t aː r ɛ	p ɔ r t aː r ɛ	t r ɐ z e r	t r ɐ z e r	k ə r a	k ə r a	ʝ e β a ɾ	ʝ e β a ɾ
CAT	g a t̪ -	g a t̪	ʃ a	ʃ a	g a tː a	g a tː a	f eː lˠ ɪ s	f eː lˠ ɪ s	g a t ɐ	g a t ɐ	p i s i k ə	p i s i k ə	g a t o	g a t o
CATCH	ə t̪ ɾ ə p a -	ə t̪ ɾ ə p a	a t ʁ a p e -	a t ʁ a p e	a kː j a pː a r e	a kː j a pː a r e	- k - a p ɛ r ɛ	k a p ɛ r ɛ	ɐ p ɐ ɲ a r	ɐ p ɐ ɲ a r	p r i n d - - e	p r i n d e	k o x e ɾ	k o x e ɾ
CAUSE_TO_(LET)	f ɛ - - - -	f ɛ	f ɛː - - ʁ -	f ɛː ʁ	f a - - r e	f a r e	ɪ ʊ b eː r ɛ	ɪ ʊ b eː r ɛ	f ɐ z e r -	f ɐ z e r	p u n e + p e + s ə	p u n e + p e + s ə	- a θ e ɾ -	a θ e ɾ
CAVE	k - ɔ β ə	k ɔ β ə	k a v ɛ ʁ n -	k a v ɛ ʁ n	k a v e r n a	k a v e r n a	s p eː lˠ ʊ ŋ k a	s p eː lˠ ʊ ŋ k a	k a v e r n a	k a v e r n a	p e ʃ t e r ə	p e ʃ t e r ə	k a β e ɾ n a	k a β e ɾ n a
CEASE	- - - - - t̪ ə ɾ m i n a ɾ z ə	t̪ ə ɾ m i n a ɾ z ə	- - - s ə t ɛ ʁ m i n e - - -	s ə t ɛ ʁ m i n e	- - - - - t e r m i n a r - e	t e r m i n a r e	f iː n ɛ m + h a b eː r ɛ	f iː n ɛ m + h a b eː r ɛ	- - - - - t ə r m i n a r - -	t ə r m i n a r	s e + - - t e r m i n a - - -	s e + t e r m i n a	- - - - - t e ɾ m i n a ɾ - -	t e ɾ m i n a ɾ
CHAIR	k ə ð i - ɾ ə	k ə ð i ɾ ə	ʃ ɛː z	ʃ ɛː z	s e d i a	s e d i a	s ɛ lː a	s ɛ lː a	k ɐ ð e j r ɐ	k ɐ ð e j r ɐ	s k a w n	s k a w n	s i ʝ a	s i ʝ a
CHANGE	k ə m β i - - a	k ə m β i a	m ɔ d i f - j e -	m ɔ d i f j e	k a m b i a r e	k a m b i a r e	m uː t aː r ɛ	m uː t aː r ɛ	a lˠ t e r a r	a lˠ t e r a r	m o d i f i k a -	m o d i f i k a	m o ð i f i k a ɾ	m o ð i f i k a ɾ
CHANGE_(BECOME_DIFFERENT)	k ə m β i - - a	k ə m β i a	a l t ɛ ʁ n e -	a l t ɛ ʁ n e	k a m b i a r e	k a m b i a r e	m uː t aː r iː	m uː t aː r iː	a lˠ t e r n a r	a lˠ t e r n a r	s e + s k i m b a	s e + s k i m b a	a l t e ɾ n a ɾ	a l t e ɾ n a ɾ
CHARACTER	ʎ ɛ t̪ - ɾ ə	ʎ ɛ t̪ ɾ ə	k a ʁ a k t ɛː ʁ	k a ʁ a k t ɛː ʁ	l ɛ tː e r a	l ɛ tː e r a	lˠ ɪ tː ɛ r a	lˠ ɪ tː ɛ r a	l ɛ t - r ɐ	l ɛ t r ɐ	k a r a k t e r	k a r a k t e r	k a ɾ a k t e ɾ	k a ɾ a k t e ɾ
CHAT_(WITH_SOMEBODY)	k u m β ə ɾ z a - -	k u m β ə ɾ z a	s ɑ̃ t ʁ ə t n iː ʁ	s ɑ̃ t ʁ ə t n iː ʁ	k o ɱ v e r z a r e	k o ɱ v e r z a r e	d ɪ s p ʊ t aː r ɛ	d ɪ s p ʊ t aː r ɛ	k õ - v ə r s a r -	k õ v ə r s a r	s t a + d e + v o r b ə	s t a + d e + v o r b ə	k o m b e ɾ s a ɾ -	k o m b e ɾ s a ɾ
CHEAP	b ə ɾ a t̪ -	b ə ɾ a t̪	b ɔ̃ m a ʁ ʃ e	b ɔ̃ m a ʁ ʃ e	a + b u o n + m e r k a t - o	a + b u o n + m e r k a t o	w iː lˠ ɪ s	w iː lˠ ɪ s	b ɐ r a t u	b ɐ r a t u	j e f t i n	j e f t i n	b a ɾ a t o	b a ɾ a t o
CHEEK	g a lˠ t̪ ə	g a lˠ t̪ ə	ʒ u	ʒ u	g u a n tʃ a	g u a n tʃ a	g ɛ n a	g ɛ n a	f a s ə	f a s ə	o b r a z	o b r a z	m e x i ʝ a	m e x i ʝ a
CHEST	p i - t̪ - -	p i t̪	p w a t ʁ i n	p w a t ʁ i n	p e - tː o -	p e tː o	p ɛ k t ʊ s	p ɛ k t ʊ s	p e j t u -	p e j t u	p j e p t	p j e p t	p e - tʃ o -	p e tʃ o
CHICKEN	g ə ʎ i n ə	g ə ʎ i n ə	p u l	p u l	g a lː i n a	g a lː i n a	g a lː iː n a	g a lː iː n a	g ɐ l i ɲ ɐ	g ɐ l i ɲ ɐ	g ə j n ə	g ə j n ə	g a ʝ i n a	g a ʝ i n a
CHILD_(YOUNG_HUMAN)	n ɛ n	n ɛ n	ɑ̃ f ɑ̃	ɑ̃ f ɑ̃	b a m b i n o	b a m b i n o	ĩː f ãː s	ĩː f ãː s	k r j ɐ̃ s ɐ	k r j ɐ̃ s ɐ	k o p i l	k o p i l	n i ɲ o	n i ɲ o
CHIME_(ACTION)	s u - n - - a	s u n a	s ɔ - n - - e	s ɔ n e	s u o n a r e	s u o n a r e	s ɔ - n aː r ɛ	s ɔ n aː r ɛ	ʃ o k a ʎ a r	ʃ o k a ʎ a r	s u - n - - a	s u n a	ɾ e p i k a ɾ	ɾ e p i k a ɾ
CHIN	b ə ɾ β ɛ t̪ ə	b ə ɾ β ɛ t̪ ə	m ɑ̃ - t ɔ̃	m ɑ̃ t ɔ̃	m e n t o	m e n t o	m ɛ n t ʊ̃	m ɛ n t ʊ̃	k e j ʃ u	k e j ʃ u	b ə r b j e	b ə r b j e	b a ɾ β i ʝ a	b a ɾ β i ʝ a
CHOOSE	ə lˠ ə ʒ i -	ə lˠ ə ʒ i	ʃ w a z iː ʁ	ʃ w a z iː ʁ	ʃ e ʎː i - - e r e	ʃ e ʎː i e r e	- eː lˠ ɪ - g ɛ r ɛ	eː lˠ ɪ g ɛ r ɛ	i ʃ k u ʎ e r	i ʃ k u ʎ e r	a l e dʒ e	a l e dʒ e	e l e x i ɾ	e l e x i ɾ
CHOP_(INTO_PIECES)	t̪ ə ʎ a	t̪ ə ʎ a	f ɑ̃ː - d - ʁ ə	f ɑ̃ː d ʁ ə	s p a kː a r e	s p a kː a r e	f ɪ n d ɛ r ɛ	f ɪ n d ɛ r ɛ	r a ʃ a r	r a ʃ a r	s p a r dʒ e	s p a r dʒ e	k o ɾ t a ɾ	k o ɾ t a ɾ
CHURCH	ə s g lˠ e z i a	ə s g lˠ e z i a	e g l iː z	e g l iː z	- - k j e z - a	k j e z a	ɛ - kː lˠ eː s ɪ a	ɛ kː lˠ eː s ɪ a	i - ɣ r ɛ ʒ - ɐ	i ɣ r ɛ ʒ ɐ	b i s e r i k ə	b i s e r i k ə	i - ɣ l e s j a	i ɣ l e s j a
CIRCLE	s ɛ ɾ k - lˠ ə	s ɛ ɾ k lˠ ə	s ɛ ʁ k - l ə	s ɛ ʁ k l ə	tʃ i r k o l o	tʃ i r k o l o	k ɪ r k ʊ s	k ɪ r k ʊ s	s i r k u l u	s i r k u l u	tʃ e r k	tʃ e r k	θ i ɾ k u l o	θ i ɾ k u l o
CLAW	u ɾ p ə	u ɾ p ə	s ɛː ʁ	s ɛː ʁ	g r i ɱ f i a	g r i ɱ f i a	ʊ ŋ gʷ ɪ s	ʊ ŋ gʷ ɪ s	p a t ɐ	p a t ɐ	g e a r ə	g e a r ə	g a - r a	g a r a
CLAY	ə ɾ ʒ i lˠ ə	ə ɾ ʒ i lˠ ə	g l ɛː z	g l ɛː z	a r dʒ i lː a	a r dʒ i lː a	lˠ ʊ t ʊ̃	lˠ ʊ t ʊ̃	a r ʒ i l a	a r ʒ i l a	h u m ə	h u m ə	b a r o	b a r o
CLEAN	n ɛ t̪ -	n ɛ t̪	p ʁ ɔ p ʁ ə	p ʁ ɔ p ʁ ə	p u l - - - - i t o	p u l i t o	lˠ a ʊ t ʊ s	lˠ a ʊ t ʊ s	l ĩ - p - u -	l ĩ p u	k u r a t	k u r a t	l i m p j o -	l i m p j o
CLEAN_(SOMETHING)	n ə t̪ - ə ʒ a	n ə t̪ ə ʒ a	n ɛ t w a j e	n ɛ t w a j e	n e tː - a r e	n e tː a r e	p uː r - - - g aː r ɛ	p uː r g aː r ɛ	p u r i f i k a r -	p u r i f i k a r	k u r ə tsʲ	k u r ə tsʲ	l i m p j a ɾ	l i m p j a ɾ
CLEVER	i n̪ t̪ ə lˠː i ʒ ɛ n̪ - -	i n̪ t̪ ə lˠː i ʒ ɛ n̪	ɛ̃ - t ɛ l i ʒ - - - ɑ̃	ɛ̃ t ɛ l i ʒ ɑ̃	i n t e lː i dʒ e n t e	i n t e lː i dʒ e n t e	p r uː d ẽː s -	p r uː d ẽː s	ĩ - t ə l i ʒ ẽ - t ə	ĩ t ə l i ʒ ẽ t ə	d e ʃ t e p t	d e ʃ t e p t	i n t e l i x e n t e	i n t e l i x e n t e
CLIMB	ə s k ə lˠ a -	ə s k ə lˠ a	g ʁ ɛ̃ p e	g ʁ ɛ̃ p e	a rː a m p i k a r z i	a rː a m p i k a r z i	n iː t iː	n iː t iː	t r e p a r	t r e p a r	s e + k ə ts ə r a	s e + k ə ts ə r a	e s k a l a ɾ	e s k a l a ɾ
CLOSED	t̪ ə ŋ k a t̪	t̪ ə ŋ k a t̪	f ɛ ʁ m e	f ɛ ʁ m e	k j u - z o -	k j u z o	k lˠ a ʊ s ʊ s	k lˠ a ʊ s ʊ s	f ə ʃ a ð u	f ə ʃ a ð u	ɨ n k i s	ɨ n k i s	θ e r a ð o	θ e r a ð o
CLOTH	t̪ ɛ lˠ ə	t̪ ɛ lˠ ə	e t ɔ f	e t ɔ f	t e - sː u t o	t e sː u t o	t ɛ k s - t ʊ̃	t ɛ k s t ʊ̃	t ə - s i ð u	t ə s i ð u	s t o f ə	s t o f ə	t e - x i ð o	t e x i ð o
CLOTHES	β ə s t i - - - ts -	β ə s t i ts	a b i j m ɑ̃	a b i j m ɑ̃	v e s t i a r i - o	v e s t i a r i o	w ɛ s t iː m ɛ n t a	w ɛ s t iː m ɛ n t a	v e ʃ t u a r - j u	v e ʃ t u a r j u	ɨ m b r ə k ə m i n t e	ɨ m b r ə k ə m i n t e	b e s t i ð o s	b e s t i ð o s
CLOUD	n u β u lˠ -	n u β u lˠ	n ɥ aː ʒ	n ɥ aː ʒ	n u v o l a	n u v o l a	n uː b eː s -	n uː b eː s	n u v ẽ j -	n u v ẽ j	n o r	n o r	n u β e - -	n u β e
COAL	k ə ɾ β o - -	k ə ɾ β o	ʃ a ʁ b ɔ̃ - -	ʃ a ʁ b ɔ̃	k a r b o n e	k a r b o n e	k a r b oː - -	k a r b oː	k ɐ r v ɐ̃ w -	k ɐ r v ɐ̃ w	k ə r b u n e	k ə r b u n e	k a ɾ β o n -	k a ɾ β o n
COAST	k ɔ - s t ə	k ɔ s t ə	k oː - - t -	k oː t	k o - s t a	k o s t a	l iː t ʊ s	l iː t ʊ s	k ɔ - ʃ t ɐ	k ɔ ʃ t ɐ	k o a s t ə	k o a s t ə	k o - s t a	k o s t a
COLD	f ɾ ɛ - - t̪ - -	f ɾ ɛ t̪	f ʁ - w - - a -	f ʁ w a	f r e - - dː o -	f r e dː o	f r iː g ɪ d ʊ s	f r iː g ɪ d ʊ s	f r i w - - - -	f r i w	r e tʃ e	r e tʃ e	f ɾ i - - - o -	f ɾ i o
COLD_(CHILL)	f ɾ ɛ - t̪ -	f ɾ ɛ t̪	f ʁ - w - a	f ʁ w a	f r e - dː o	f r e dː o	f r iː gʷ s -	f r iː gʷ s	f r i w - -	f r i w	f r i g - -	f r i g	f ɾ i - - o	f ɾ i o
COLD_(OF_WEATHER)	f ɾ ɛ s k -	f ɾ ɛ s k	f ʁ ɛ - - -	f ʁ ɛ	f r e s k o	f r e s k o	f r iː g ɪ d ʊ s	f r iː g ɪ d ʊ s	f r ɛ ʃ k u	f r ɛ ʃ k u	r ə k o r o s	r ə k o r o s	f ɾ e s k o	f ɾ e s k o
COLLAR	k ɔ ʎ - - -	k ɔ ʎ	k ɔ l - - -	k ɔ l	k o lː e tː o	k o lː e tː o	k ɔ lː aː r ɛ	k ɔ lː aː r ɛ	g ɔ l - - ɐ	g ɔ l ɐ	g u l e r -	g u l e r	k w e ʝ o	k w e ʝ o
