COGID	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
STAND_UP_3590	ə ʃ ə k a ɾ z ə	ə ʃ ə k a ɾ z ə												
STAND_UP_3591							s ʊ r g ɛ r ɛ	s ʊ r g ɛ r ɛ						
STAR_3592	ə s t ɾ ɛ ʎ ə	ə s t ɾ ɛ ʎ ə	e - t w a l -	e t w a l					i ʃ t r ɛ l ɐ	i ʃ t r ɛ l ɐ			e s t ɾ e ʝ a	e s t ɾ e ʝ a
STAR_3593					s t e lː a	s t e lː a	s t eː lː a	s t eː lː a			s t e - a	s t e a		
STAR_3594							s iː d ʊ s	s iː d ʊ s						
STATE_(POLITICS)_3600	ə s t a t̪ -	ə s t a t̪			- s t a t o	s t a t o			i ʃ t a ð u	i ʃ t a ð u	- s t a t -	s t a t	e s t a ð o	e s t a ð o
STATE_(POLITICS)_3601							r eː s + p uː b lˠ ɪ k a	r eː s + p uː b lˠ ɪ k a						
STATE_(POLITICS)_3602			e t a	e t a										
STEAL_3609							f uː r - aː r iː	f uː r aː r iː	f u r t a r -	f u r t a r	f u r - a - -	f u r a	w - ɾ t a ɾ -	w ɾ t a ɾ
STEAL_3610	r u β a - -	r u β a			r u b a r e	r u b a r e							ɾ o β a ɾ -	ɾ o β a ɾ
STEAL_3611			v ɔ l e	v ɔ l e										
STEP_(VERB)_3612											p ə ʃʲ -	p ə ʃʲ		
STEP_(VERB)_3613	p ɾ u s ə ð i - -	p ɾ u s ə ð i			p r o tʃ e d e r e	p r o tʃ e d e r e							p ɾ o θ e ð e ɾ -	p ɾ o θ e ð e ɾ
STEP_(VERB)_3614					a n d a r e	a n d a r e			ɐ̃ - d a r -	ɐ̃ d a r				
STEP_(VERB)_3615							g r a d iː -	g r a d iː						
STEP_(VERB)_3616									k a m i ɲ a r	k a m i ɲ a r				
STEP_(VERB)_3617			m a ʁ ʃ e	m a ʁ ʃ e										
STICK_3618	p a - - lˠ -	p a lˠ					b a k ʊ lˠ ʊ̃	b a k ʊ lˠ ʊ̃	b ẽ g a l ɐ	b ẽ g a l ɐ			p a - - l o	p a l o
STICK_3619					b a s t o n e	b a s t o n e					b a s t o n -	b a s t o n	b a s t o n -	b a s t o n
STICK_3620					v e r g - - a	v e r g a								
STICK_3622			k a n	k a n										
STICK_3625					b a kː e tː a	b a kː e tː a								
STICK_3628											b ə ts	b ə ts		
STILL_(CONTINUING)_3629	ə ŋ k a ɾ ə	ə ŋ k a ɾ ə	ɑ̃ - k ɔː ʁ -	ɑ̃ k ɔː ʁ	a ŋ k o r a	a ŋ k o r a								
STILL_(CONTINUING)_3630													t o ð a β i a	t o ð a β i a
STILL_(CONTINUING)_3631													a u n	a u n
STILL_(CONTINUING)_3632											ɨ n k ə	ɨ n k ə		
STILL_(CONTINUING)_3633									ɐ ĩ d ɐ	ɐ ĩ d ɐ				
STILL_(CONTINUING)_3634							ɛ t ɪ ã	ɛ t ɪ ã						
STINGY_3639			a v aː ʁ - - -	a v aː ʁ	a v a r o - -	a v a r o	a w aː r ʊ s -	a w aː r ʊ s	ɐ v ɐ r ẽ t u	ɐ v ɐ r ẽ t u			a β a ɾ o - -	a β a ɾ o
STINGY_3640	ə β a	ə β a												
STINGY_3641											z g ɨ r tʃ i t	z g ɨ r tʃ i t		
STINGY_3642											k a l i k	k a l i k		
STING_3635	p u ɲ ʃ a - -	p u ɲ ʃ a	p i - k e - -	p i k e	p u n dʒ e r e	p u n dʒ e r e	p ʊ ŋ g ɛ r ɛ	p ʊ ŋ g ɛ r ɛ	p i - k a r -	p i k a r			p i n tʃ a ɾ -	p i n tʃ a ɾ
STING_3636											ɨ n ts e p a	ɨ n ts e p a		
STING_3637	ə p u ɲ ə lˠ a	ə p u ɲ ə lˠ a												
STING_3638											ɨ m p u n dʒ e	ɨ m p u n dʒ e		
STIR_3643							k ɔ mː ɔ w eː r ɛ	k ɔ mː ɔ w eː r ɛ	ʀ ə m ə ʃ e r -	ʀ ə m ə ʃ e r			ɾ e m o β e ɾ -	ɾ e m o β e ɾ
STIR_3644	r ə m ə n a	r ə m ə n a	ʁ ə m - ɥ e	ʁ ə m ɥ e										
STIR_3645											m e s t e k a	m e s t e k a		
STIR_3646					m e s k o l a r e	m e s k o l a r e								
STOMACH_3647	ə s t o m ə k - - -	ə s t o m ə k	ɛ s t ɔ m a - - - -	ɛ s t ɔ m a	- s t ɔ m a k - o -	s t ɔ m a k o	- s t ɔ m a k h ʊ s	s t ɔ m a k h ʊ s	i ʃ t o m ɐ ɣ - u -	i ʃ t o m ɐ ɣ u	- s t o m a k - - -	s t o m a k	e s t o m a ɣ - o -	e s t o m a ɣ o
STONE_3648	p - ɛ - ð ɾ ə	p ɛ ð ɾ ə	p j ɛː - - ʁ -	p j ɛː ʁ	p - i e t r a	p i e t r a			p - ɛ - ð r ɐ	p ɛ ð r ɐ	p j a - t r ə	p j a t r ə	p j e - ð ɾ a	p j e ð ɾ a
STONE_3649							lˠ a p ɪ s	lˠ a p ɪ s						
STONE_3650					s a sː o	s a sː o								
STORY_3659	n ə r ə s - i - o - -	n ə r ə s i o	n a ʁ ɑ s j - - ɔ̃ - -	n a ʁ ɑ s j ɔ̃	n a rː a ts - i - o n e	n a rː a ts i o n e	n aː rː aː t - ɪ - oː - -	n aː rː aː t ɪ oː	n a ʀ a t - i v a - -	n a ʀ a t i v a			n a r a θ j - - o n -	n a r a θ j o n
STORY_3660			k - ɔ̃ː - t -	k ɔ̃ː t					k - õ - t u	k õ t u			k w e n t o	k w e n t o
STORY_3661											p o v e s t e	p o v e s t e		
STORY_3662							f aː b ʊ lˠ a	f aː b ʊ lˠ a						
STORY_3663					r a kː o n t o	r a kː o n t o								
STOVE_3664	ə s t u f ə	ə s t u f ə			- s t u f a	s t u f a			i ʃ t u f a	i ʃ t u f a			e s t u f a	e s t u f a
STOVE_3665									a k e s e ð o r	a k e s e ð o r				
STOVE_3666											s o b ə	s o b ə		
STOVE_3667							f ɔ r n aː k s	f ɔ r n aː k s						
STOVE_3668			p w a l	p w a l										
STRAP_3669	k u r ɛ dʒ ə	k u r ɛ dʒ ə	k u ʁ - w a	k u ʁ w a					k o ʀ e j a	k o ʀ e j a	k u r e - a	k u r e a	k o r e - a	k o r e a
STRAP_3670							lˠ oː r ʊ̃	lˠ oː r ʊ̃						
STRAP_3671					tʃ i ŋ g j a	tʃ i ŋ g j a								
STRAP_3672			l a n j ɛː ʁ	l a n j ɛː ʁ										
STREAM_(FLOW_CONTINUOUSLY)_3673	ə f lˠ - u j	ə f lˠ u j	a f l ɥ e -	a f l ɥ e									a f l w i ɾ	a f l w i ɾ
STREAM_(FLOW_CONTINUOUSLY)_3674					f l u i r e	f l u i r e	f lˠ ʊ ɛ r ɛ	f lˠ ʊ ɛ r ɛ						
STREAM_(FLOW_CONTINUOUSLY)_3675											k u r dʒ e + ɨ n + ʃ i r o a j e	k u r dʒ e + ɨ n + ʃ i r o a j e		
STREAM_(FLOW_CONTINUOUSLY)_3676									k u ʀ e r	k u ʀ e r				
STRENGTH_3677					f - o r t e t ts a	f o r t e t ts a			f - o r s - - - ɐ	f o r s ɐ			f w e ɾ θ - - - a	f w e ɾ θ a
STRENGTH_3678	β i ɣ ɔ - - -	β i ɣ ɔ	v i g œː - ʁ -	v i g œː ʁ	v i g o - r e	v i g o r e					v i g o a r e	v i g o a r e		
STRENGTH_3679											t ə r j e	t ə r j e		
STRENGTH_3680							r oː b ʊ r	r oː b ʊ r						
STRIKE_(SOMEONE)_337	p ə ɣ a - -	p ə ɣ a	b a t - ʁ ə	b a t ʁ ə	b a tː e r e	b a tː e r e			b ɐ t e r -	b ɐ t e r			p e ɣ a ɾ -	p e ɣ a ɾ
STRIKE_(SOMEONE)_338	k u lˠ p ə ʒ a -	k u lˠ p ə ʒ a											g o l p e - a ɾ	g o l p e a ɾ
STRIKE_(SOMEONE)_339							f ɛ r iː r ɛ	f ɛ r iː r ɛ						
STRIKE_(SOMEONE)_340											l o vʲ	l o vʲ		
STRIKE_(SOMEONE)_341			f ʁ a p e	f ʁ a p e										
STRIKE_(SOMETHING)_1942	p i k - a - -	p i k a			p i kː j a r e	p i kː j a r e			b ɐ t - e r -	b ɐ t e r			p e ɣ - a ɾ -	p e ɣ a ɾ
STRIKE_(SOMETHING)_1943			f ʁ a p e	f ʁ a p e										
STRIKE_(SOMETHING)_1944							f ɛ r iː r ɛ	f ɛ r iː r ɛ						
STRIKE_(SOMETHING)_1945											l o vʲ	l o vʲ		
STRIKE_(SOMETHING)_1946	k u lˠ p ə ʒ a	k u lˠ p ə ʒ a												
STRING_3681	k - ɔ ɾ ð ə -	k ɔ ɾ ð ə	k - ɔ ʁ d - -	k ɔ ʁ d	k - o r d a -	k o r d a			k - o r ð e lˠ	k o r ð e lˠ			k w e ɾ ð a -	k w e ɾ ð a
STRING_3682											s f o a r ə	s f o a r ə		
STRING_3683			f i s ɛ l	f i s ɛ l										
STRING_3684											f u n j e	f u n j e		
STRING_3685							l iː n ʊ̃	l iː n ʊ̃						
STROKE_(OF_PEN)_3686	t̪ ɾ a s -	t̪ ɾ a s	t ʁ ɛ - -	t ʁ ɛ	t r a tː o	t r a tː o			t r a s u	t r a s u			t ɾ a θ o	t ɾ a θ o
STROKE_(OF_PEN)_3687	r a ʎː ə	r a ʎː ə											ɾ a ʝ a	ɾ a ʝ a
STROKE_(OF_PEN)_3688											t r ə s ə t u r ə	t r ə s ə t u r ə		
STROKE_(OF_PEN)_3689											l i n j e	l i n j e		
STROKE_(OF_PEN)_3690							l iː n ɛ aː m ɛ n t ʊ̃	l iː n ɛ aː m ɛ n t ʊ̃						
STRONG_3691	f - ɔ ɾ - -	f ɔ ɾ	f - ɔː ʁ - -	f ɔː ʁ	f - o r t e	f o r t e			f - ɔ r t ə	f ɔ r t ə			f w e ɾ t e	f w e ɾ t e
STRONG_3692					v i g o r o z o	v i g o r o z o					v i g u r o s -	v i g u r o s	b i ɣ o ɾ o s o	b i ɣ o ɾ o s o
STRONG_3693											p u t e r n i k	p u t e r n i k		
STRONG_3694									r o β u ʃ t u	r o β u ʃ t u				
STRONG_3695							w a lˠ ɪ d ʊ s	w a lˠ ɪ d ʊ s						
STRONG_3696			p ɥ i s ɑ̃	p ɥ i s ɑ̃										
STRONG_3697							f ɪ r m ʊ s	f ɪ r m ʊ s						
STUPID_3698	ə s t u p i t̪ - -	ə s t u p i t̪			- s t u p i d o -	s t u p i d o	- s t ʊ p ɪ d ʊ s	s t ʊ p ɪ d ʊ s	i ʃ t u p i ð u -	i ʃ t u p i ð u			e s t u p i ð o -	e s t u p i ð o
STUPID_3699			s o	s o										
STUPID_3700											t ɨ m p i t	t ɨ m p i t		
STUPID_3701			b ɛː t	b ɛː t										
STUPID_3702													t o n t o	t o n t o
STUPID_3703											n e r o d	n e r o d		
STUPID_3704									p a r v u	p a r v u				
STUPID_3705	ʃ i m p lˠ ə	ʃ i m p lˠ ə												
SUCCEED_3706			ʁ e y s iː ʁ -	ʁ e y s iː ʁ	r i u ʃː i r e	r i u ʃː i r e								
SUCCEED_3707											i z b u tʲ	i z b u tʲ		
SUCCEED_3708									d a r β o m r e z u lˠ t a ð u	d a r β o m r e z u lˠ t a ð u				
SUCCEED_3709													s a l i ɾ + β j e n	s a l i ɾ + β j e n
SUCCEED_3710											r e w ʃʲ	r e w ʃʲ		
SUCCEED_3711									ʃ a j r β ẽ j	ʃ a j r β ẽ j				
SUCCEED_3712							k ɔ n t ɪ ŋ g ɛ r ɛ	k ɔ n t ɪ ŋ g ɛ r ɛ						
SUCCEED_3713	s u ɾ t̪ i ɾ + b e	s u ɾ t̪ i ɾ + b e												
SUDDENLY_3714							- - - r ɛ p ɛ n t ɛ	r ɛ p ɛ n t ɛ					d e + ɾ e p e n t e	d e + ɾ e p e n t e
SUDDENLY_3715	d̪ ə + s ɔ p t̪ ə	d̪ ə + s ɔ p t̪ ə												
SUDDENLY_3716											d e o d a t ə	d e o d a t ə		
SUDDENLY_3717											p e + n e a ʃ t e p t a t e	p e + n e a ʃ t e p t a t e		
SUDDENLY_3718									d e r e p ẽ t e	d e r e p ẽ t e				
SUDDENLY_3719							s ʊ b ɪ t oː	s ʊ b ɪ t oː						
SUDDENLY_3720					a lː i m p r o vː i z o	a lː i m p r o vː i z o								
SUDDENLY_3721			t u t a k u	t u t a k u										
SUMMER_3722													b e ɾ a n o	b e ɾ a n o
SUMMER_3723											v a r ə	v a r ə		
SUMMER_3724									v ə r ɐ̃ w	v ə r ɐ̃ w				
SUMMER_3725							a ɛ s t aː s	a ɛ s t aː s						
SUMMER_3726					e s t a t e	e s t a t e								
SUMMER_3727			e t e	e t e										
SUMMER_3728	ə s t i w	ə s t i w												
SUMMIT_3729	s i m -	s i m	s i m -	s i m	tʃ i m a	tʃ i m a							θ i m a	θ i m a
SUMMIT_3730							w ɛ r t ɛ k s	w ɛ r t ɛ k s						
SUMMIT_3731									p i k u	p i k u				
SUMMIT_3732											p i s k	p i s k		
SUMMIT_3733			s ɔ m ɛ	s ɔ m ɛ										
SUMMIT_3734													k u m b ɾ e	k u m b ɾ e
SUNDAY_50					d o m e n i k a -	d o m e n i k a	d ɔ m iː n ɪ k ʊ s	d ɔ m iː n ɪ k ʊ s	d u m ĩ - - g u -	d u m ĩ g u	d u m i n i k ə -	d u m i n i k ə	d o m i ŋ - g o -	d o m i ŋ g o
SUNDAY_51	d̪ i w m ɛ ɲ ʒ ə	d̪ i w m ɛ ɲ ʒ ə	d i - m ɑ̃ː - ʃ -	d i m ɑ̃ː ʃ										
SUNDAY_52							d ɪ eː s + s oː lˠ ɪ s	d ɪ eː s + s oː lˠ ɪ s						
SUN_3735	s ɔ lˠ -	s ɔ lˠ			s o l e	s o l e	s oː lˠ -	s oː lˠ	s ɔ lˠ -	s ɔ lˠ			s o l -	s o l
SUN_3736											s o a r e	s o a r e		
SUN_3737			s ɔ l ɛ j	s ɔ l ɛ j										
SUPPORT_(OF_OBJECT)_3738	s u p ɔ ɾ - -	s u p ɔ ɾ			s u pː o r t o	s u pː o r t o			ʃ u p o r t e	ʃ u p o r t e			s o p o ɾ t e	s o p o ɾ t e
SUPPORT_(OF_OBJECT)_3739			s u t j ɛ̃	s u t j ɛ̃										
SUPPORT_(OF_OBJECT)_3740													s o s t e n	s o s t e n
SUPPORT_(OF_OBJECT)_3741											p r o p t e a	p r o p t e a		
SUPPORT_(OF_OBJECT)_3742									ɐ p o j u	ɐ p o j u				
SUPPORT_(OF_OBJECT)_3743							a d m ɪ n ɪ k ʊ lˠ ʊ̃	a d m ɪ n ɪ k ʊ lˠ ʊ̃						
SUPPORT_(OF_OBJECT)_3744			a p ɥ i	a p ɥ i										
SWALLOW_3745													t ɾ a ɣ a ɾ	t ɾ a ɣ a ɾ
SWALLOW_3746											ɨ n g i tsʲ	ɨ n g i tsʲ		
SWALLOW_3747									ẽ g u l i r	ẽ g u l i r				
SWALLOW_3748							d eː w ɔ r aː r ɛ	d eː w ɔ r aː r ɛ						
SWALLOW_3749					i ŋ g j o tː i r e	i ŋ g j o tː i r e								
SWALLOW_3750			a v a l e	a v a l e										
SWALLOW_3751	ə m p ə s a ɾ z ə	ə m p ə s a ɾ z ə												
SWAMP_3752	p ə n̪ t̪ - - a	p ə n̪ t̪ a							p ã - t a n u	p ã t a n u			p a n t a n o	p a n t a n o
SWAMP_3753			m a ʁ e k aː ʒ	m a ʁ e k aː ʒ										
SWAMP_3754					p a l u d e	p a l u d e	p a lˠ uː s -	p a lˠ uː s						
SWAMP_3755											m l a ʃ t i n ə	m l a ʃ t i n ə		
SWAMP_3756									ʃ a r k u	ʃ a r k u				
SWAN_3757	s i ŋ n ə	s i ŋ n ə	s i - ŋ -	s i ŋ					s i ʃ n e	s i ʃ n e			θ i z n e	θ i z n e
SWAN_3758							k ɪ k n ʊ s	k ɪ k n ʊ s						
SWAN_3759											l e b ə d ə	l e b ə d ə		
SWAN_3760							ɔ lˠ ɔ r	ɔ lˠ ɔ r						
SWAN_3761					tʃ i ɲː o	tʃ i ɲː o								
SWARM_(OF_BIRDS)_3762	b ə n ð a ð ə	b ə n ð a ð ə											b a n d a ð a	b a n d a ð a
SWARM_(OF_BIRDS)_3763									ẽ ʃ ɐ m ə	ẽ ʃ ɐ m ə				
SWARM_(OF_BIRDS)_3764			v ɔ l e	v ɔ l e										
SWARM_(OF_BIRDS)_3765											k ɨ r d	k ɨ r d		
SWARM_(OF_BIRDS)_3766									b ã d u	b ã d u				
SWARM_(OF_BIRDS)_3767							ɛ k s aː m ɛ n	ɛ k s aː m ɛ n						
SWARM_(OF_BIRDS)_3768					s t o r m o	s t o r m o								
SWARM_(OF_BIRDS)_3769			n ɥ e	n ɥ e										
SWAY_3770	β ə - s i lˠː a - -	β ə s i lˠː a	- ɔ - s i l e - -	ɔ s i l e	b a r k o lː a r e	b a r k o lː a r e	w a - k ɪ lː aː r ɛ	w a k ɪ lː aː r ɛ	- o ʃ s i l a r -	o ʃ s i l a r			b a - θ i l a ɾ -	b a θ i l a ɾ
SWAY_3771											s e + k l ə t i n a	s e + k l ə t i n a		
SWAY_3772			ʃ ɑ̃ s l e	ʃ ɑ̃ s l e										
SWEEP_3773							w ɛ rː ɛ r ɛ	w ɛ rː ɛ r ɛ	v ɐ ʀ e r -	v ɐ ʀ e r			b a r e ɾ -	b a r e ɾ
SWEEP_3774	ə s k u m β ɾ a	ə s k u m β ɾ a												
SWEEP_3775											m ə t u r a	m ə t u r a		
SWEEP_3776					s p a t ts a r e	s p a t ts a r e								
SWEEP_3777			b a l ɛ j e	b a l ɛ j e										
SWEEP_3778													p a s a ɾ + l a + e s k o β a	p a s a ɾ + l a + e s k o β a
SWEET_3780	d̪ ɔ lˠ - - s	d̪ ɔ lˠ s			d o l tʃ e -	d o l tʃ e	d ʊ lˠ k ɪ s	d ʊ lˠ k ɪ s			d u l tʃ e -	d u l tʃ e	d u l θ e -	d u l θ e
SWEET_3781									d o s ə	d o s ə				
SWEET_3782			d u	d u										
SWIM_3783	n ə - ð - - a	n ə ð a	n a - ʒ - - e	n a ʒ e	n u o t a r e	n u o t a r e	n a - t aː r ɛ	n a t aː r ɛ	n ɐ - ð a r -	n ɐ ð a r			n a - ð a ɾ -	n a ð a ɾ
SWIM_3784											ɨ n o t a	ɨ n o t a		
SWINDLE_738			f ʁ o - d - - e	f ʁ o d e	f r o - d a r e	f r o d a r e	f r a ʊ d aː r ɛ	f r a ʊ d aː r ɛ						
SWINDLE_739									ẽ - g ɐ n a r	ẽ g ɐ n a r			e ŋ g a ɲ a ɾ	e ŋ g a ɲ a ɾ
SWINDLE_740			d y p e	d y p e										
SWINDLE_741	ə s t ə f a	ə s t ə f a												
SWINDLE_742					t r u fː a r e	t r u fː a r e								
SWINDLE_743											ɨ n ʃ e l a	ɨ n ʃ e l a		
SWINDLE_744									b u r l a r	b u r l a r				
SWING_(MOVEMENT)_3785			v i b ʁ - - e	v i b ʁ e	v i b r a r e	v i b r a r e	w ɪ b r aː r ɛ	w ɪ b r aː r ɛ	v i β r a r -	v i β r a r	v i b r - - a	v i b r a		
SWING_(MOVEMENT)_3787	u z s i lˠː - - a	u z s i lˠː a	ɔ s - i l - - e	ɔ s i l e	o ʃː - i lː a r e	o ʃː i lː a r e							o s θ i l a ɾ -	o s θ i l a ɾ
SWING_(MOVEMENT)_3789											f l u t u r a	f l u t u r a		
SWING_(SOMETHING)_3786	ə ʒ i t̪ - - a	ə ʒ i t̪ a	a ʒ i t - - e	a ʒ i t e	a dʒ i t a r e	a dʒ i t a r e			ɐ ʒ i t a r -	ɐ ʒ i t a r	a dʒ i t - - a	a dʒ i t a		
SWING_(SOMETHING)_3788					z v e n t o l a r e	z v e n t o l a r e	- w ɛ n t ɪ lˠ aː r ɛ	w ɛ n t ɪ lˠ aː r ɛ						
SWING_(SOMETHING)_3790													m e n e a ɾ	m e n e a ɾ
TABLE_3791							m ẽː s a	m ẽː s a	m e z ɐ	m e z ɐ	m a s ə	m a s ə	m e s a	m e s a
TABLE_3792	t̪ a w - lˠ ə	t̪ a w lˠ ə	t a b - l ə	t a b l ə	t a v o l o	t a v o l o								
TAIL_3793					k o - d a	k o d a	k a ʊ d a	k a ʊ d a			k o a d ə	k o a d ə	k o - l a	k o l a
TAIL_3794	k - w - a	k w a							k a w ð a	k a w ð a				
TAIL_3795			k ø	k ø										
TAIL_3796									ʀ a β u	ʀ a β u				
TAKE_3797	p ɾ ɛ n ð - ɾ ə	p ɾ ɛ n ð ɾ ə	p ʁ ɑ̃ː - d - ʁ ə	p ʁ ɑ̃ː d ʁ ə	p r ɛ n d e r e	p r ɛ n d e r e								
TAKE_3798							s uː m ɛ r ɛ	s uː m ɛ r ɛ	t u m a r -	t u m a r			t o m a ɾ -	t o m a ɾ
TAKE_3799											l w a	l w a		
TALK_3813													k o m b e ɾ s a ɾ - - - -	k o m b e ɾ s a ɾ
TALK_3814	p ə ɾ lˠ - - a	p ə ɾ lˠ a	p a ʁ l - - e	p a ʁ l e	p a r l a r e	p a r l a r e								
TALK_3815									- f ɐ l a r	f ɐ l a r			a β - l a ɾ	a β l a ɾ
TALK_3816											d i s k u t a	d i s k u t a		
TALK_3817											v o r bʲ	v o r bʲ		
TALK_3818							lˠ ɔ kʷ iː	lˠ ɔ kʷ iː						
TASTE_(SOMETHING)_3822					d e g u s t a r e	d e g u s t a r e	- - gʷ - s t aː r ɛ	gʷ s t aː r ɛ					d e ɣ u s t a ɾ -	d e ɣ u s t a ɾ
TASTE_(SOMETHING)_3823	p ɾ u β a -	p ɾ u β a							p r u v a r	p r u v a r			p ɾ o β a ɾ	p ɾ o β a ɾ
TASTE_(SOMETHING)_3824			g u - t e	g u t e							g u s t a	g u s t a		
TASTE_(SOMETHING)_3825									ʃ a β o r j a r	ʃ a β o r j a r				
TASTE_(SOMETHING)_3826					a sː a d dʒ a r e	a sː a d dʒ a r e								
TASTE_1477	g u s - - -	g u s	g u - - - -	g u	g u s t o -	g u s t o	gʷ - s t ʊ s	gʷ s t ʊ s	g o ʃ t u -	g o ʃ t u	g u s t - -	g u s t	g u s t o -	g u s t o
TASTE_1478	s ə β ɔ - -	s ə β ɔ	s a v œː ʁ -	s a v œː ʁ	s a p o r e	s a p o r e	s a p ɔ r -	s a p ɔ r						
TASTY_1049	d̪ ə lˠ i s i - o s -	d̪ ə lˠ i s i o s	d e l i s - j - - ø	d e l i s j ø			d eː lˠ ɪ k aː t ʊ s -	d eː lˠ ɪ k aː t ʊ s	d ə l i s - j o z u	d ə l i s j o z u				
TASTY_1050													s a β ɾ o s o	s a β ɾ o s o
TASTY_1051					s k w i z i t o	s k w i z i t o								
TASTY_1052			a p e t i s ɑ̃	a p e t i s ɑ̃										
TASTY_1053													ɾ i k o	ɾ i k o
TASTY_1054											g u s t o s	g u s t o s		
TASTY_1055					g j o tː o	g j o tː o								
TEACHER_3837			p ʁ ɔ f ɛ s œː ʁ -	p ʁ ɔ f ɛ s œː ʁ	p r o f e sː o r e	p r o f e sː o r e			p r u f ə s o r -	p r u f ə s o r	p r o f e s o r -	p r o f e s o r	p ɾ o f e s o ɾ -	p ɾ o f e s o ɾ
TEACHER_3838											ɨ n v ə ts ə t o r	ɨ n v ə ts ə t o r		
TEACHER_3839			ɛ̃ s t i t y t œː ʁ	ɛ̃ s t i t y t œː ʁ										
TEACHER_3840							m a g ɪ s t ɛ r	m a g ɪ s t ɛ r						
TEACHER_3841	m ɛ s t ɾ ə	m ɛ s t ɾ ə												
TEACH_3831	ə n z ə ɲ a - -	ə n z ə ɲ a			i n z e ɲː a r e	i n z e ɲː a r e			ẽ - s i n a r -	ẽ s i n a r			e n s e ɲ a ɾ -	e n s e ɲ a ɾ
TEACH_3832													i n s t ɾ w i ɾ	i n s t ɾ w i ɾ
TEACH_3833											ɨ n v ə ts a	ɨ n v ə ts a		
TEACH_3834											p r e d a	p r e d a		
TEACH_3835							d ɔ k eː r ɛ	d ɔ k eː r ɛ						
TEACH_3836			a p ʁ ɑ̃ː d ʁ ə	a p ʁ ɑ̃ː d ʁ ə										
TEAR_(OF_EYE)_3842	ʎ a ɣ ɾ i m ə	ʎ a ɣ ɾ i m ə			l a k r i m a	l a k r i m a	lˠ a k r ɪ m a	lˠ a k r ɪ m a	l a ɣ r i m ɐ	l a ɣ r i m ɐ	l a k r i m ə	l a k r i m ə	l a ɣ ɾ i m a	l a ɣ ɾ i m a
TEAR_(OF_EYE)_3852			l a ʁ m	l a ʁ m										
TEAR_(SHRED)_3843													d e s p e ð a θ a ɾ	d e s p e ð a θ a ɾ
TEAR_(SHRED)_3844											s f ɨ ʃ j a	s f ɨ ʃ j a		
TEAR_(SHRED)_3845													d e z ɣ a r a ɾ	d e z ɣ a r a ɾ
TEAR_(SHRED)_3846											r u p e	r u p e		
TEAR_(SHRED)_3847									r a ʃ ɣ a r	r a ʃ ɣ a r				
TEAR_(SHRED)_3848							d ɪ s k ɪ n d ɛ r ɛ	d ɪ s k ɪ n d ɛ r ɛ						
TEAR_(SHRED)_3849					s t r a t tʃ a r e	s t r a t tʃ a r e								
TEAR_(SHRED)_3850			d e ʃ i ʁ e	d e ʃ i ʁ e										
TEAR_(SHRED)_3851	ə s t ɾ i p a	ə s t ɾ i p a												
TEA_3827	t̪ ɛ	t̪ ɛ	t e	t e	t ɛ	t ɛ							t e	t e
TEA_3828											tʃ e a j	tʃ e a j		
TEA_3829									ʃ a	ʃ a				
TEA_3830							t h ɛ a	t h ɛ a						
TELL_3859	- - k u n̪ t̪ a - -	k u n̪ t̪ a	ʁ a k ɔ̃ - t - - e	ʁ a k ɔ̃ t e	r a kː o n t a r e	r a kː o n t a r e			- - k õ - t a r -	k õ t a r			- - k o n t a ɾ -	k o n t a ɾ
TELL_3860					n a rː a r e	n a rː a r e	n aː rː aː r ɛ	n aː rː aː r ɛ						
TELL_3861											s p u n e	s p u n e		
TELL_3862	ə k s p lˠ i k a	ə k s p lˠ i k a												
TELL_3863											p o v e s tʲ	p o v e s tʲ		
TENDON_3329	t̪ ə n ð o - -	t̪ ə n ð o	t ɑ̃ - d ɔ̃ - -	t ɑ̃ d ɔ̃	t ɛ n d i n e	t ɛ n d i n e			t ẽ - d ã w -	t ẽ d ã w	t e n d o n -	t e n d o n	t e n d o n -	t e n d o n
TENDON_3330							n ɛ r w ʊ s	n ɛ r w ʊ s						
TEN_3864	d̪ - ɛ w	d̪ ɛ w	d - i s	d i s					d - ɛ ʃ	d ɛ ʃ			d j e θ	d j e θ
TEN_3865											z e tʃ e	z e tʃ e		
TEN_3866							d ɛ k ɛ̃	d ɛ k ɛ̃						
TEN_3867					d i e tʃ i	d i e tʃ i								
THAT_3868	ə ʃ ɔ	ə ʃ ɔ							i s u	i s u			e s o	e s o
THAT_3869													e s t o	e s t o
THAT_3870									ɐ k i l u	ɐ k i l u				
THAT_3871					k w e lː o	k w e lː o								
THAT_3872			s ə l a	s ə l a										
THAT_3873											a s t a	a s t a		
THAT_3874							ɪ d	ɪ d						
THAT_3875					tʃ ɔ	tʃ ɔ								
THAT_3876			s ə	s ə										
THAW_(DEW)_3877									d e ʃ k õ g e l a r	d e ʃ k õ g e l a r				
THAW_(DEW)_3878													d e s e l a ɾ s e	d e s e l a ɾ s e
THAW_(DEW)_3879											s e + d e z g e ts a	s e + d e z g e ts a		
THAW_(DEW)_3880									d ə ʀ ə t e r	d ə ʀ ə t e r				
THAW_(DEW)_3881							r oː r aː r ɛ	r oː r aː r ɛ						
